date,title,site_id,company,technology_stack,salary_margin,salary,required_experience
2023-12-22,Senior Python Developer,/jobs/5464012/,VOL company,"['Java', 'Python', 'SQL', 'HTML', 'Django', 'CSS', 'FastAPI', 'API']","[24000, 30000]",27000.0,5
2023-12-14,Python developer,/jobs/5302747/,Appexoft,"['Python', 'SQL', 'Django', 'GIT', 'WEB']",Unknown,,1
2023-12-19,"Middle Developer (PHP, JS, Java, C/C++, C#, Ruby, Python)",/jobs/5350335/,LuckyWare Pro,"['PHP', 'Java', 'JS', 'Python', 'C++', 'Ruby', 'C#']",Unknown,,2
2023-12-27,Junior Python Developer,/jobs/5466723/,Solidway,['Python'],As interview result,,0
2024-01-08,"Intern/trainee analytic programmer (DAX, M, VBA, SAS, R, Python)",/jobs/5184790/,Business Research Group,['Python'],As interview result,,0
2024-01-05,Python Backend Developer,/jobs/5463316/,"Trendline, LLC","['Python', 'SQL', 'Docker', 'Django', 'API']",As interview result,,2
2024-01-05,"Junior Python AQA, Developer in Test",/jobs/5456736/,Ajax Systems,"['Python', 'SQL', 'Docker', 'GIT', 'CI/CD']",Unknown,,0
2023-12-21,Python-розробник,/jobs/5463142/,"Кодісофт, ТОВ","['JS', 'Python']",[37000],37000.0,1
2024-01-07,Викладач у дитячу ІТ-школу програмування (Python) у Сокаль,/jobs/4563892/,"Logika, мiжнародна школа програмування для дiтей",['Python'],"[5000, 8000]",6500.0,0
2024-01-09,Senior Python Developer,/jobs/5452563/,EVA.tech,"['Python', 'SQL', 'Django', 'WEB', 'Redis']",Unknown,,2
2024-01-02,"PHP, Python Web Developer",/jobs/3974036/,Soaring Venture Corp.,"['PHP', 'Java', 'Python', 'SQL', 'HTML', 'CSS', 'WEB', 'API']","[42000, 46000]",44000.0,5
2023-12-12,Python-программист,/jobs/5452246/,Onlihub,"['Python', 'SQL', 'Docker', 'Pandas', 'FastAPI', 'GIT', 'API', 'Redis']","[50000, 80000]",65000.0,2
2024-01-04,"Викладач, ментор курсу Python",/jobs/4799664/,CyberBionic Systematics,"['Python', 'SQL', 'Django', 'GIT', 'WEB']",Unknown,,2
2024-01-10,LLM Specialist with Python Knowledge,/jobs/5482855/,Chatmasters AI,"['Python', 'Docker', 'FastAPI', 'API']",Unknown,,1
2024-01-06,Викладач у дитячу школу програмування (Python),/jobs/5457298/,"Logika, мiжнародна школа програмування для дiтей",['Python'],"[5000, 8000]",6500.0,0
2024-01-02,Middle Python Developer,/jobs/5437236/,KeyUa,"['JS', 'Python', 'Docker', 'English', 'HTML', 'Django', 'Flask', 'CSS', 'WEB', 'API']",Unknown,,2
2024-01-07,"Викладач у дитячу IT-школу програмування (Scratch, Python)",/jobs/5476873/,"Logika, мiжнародна школа програмування для дiтей","['Java', 'Python', 'HTML', 'CSS']","[3000, 6000]",4500.0,0
