date,title,site_id,company,technology_stack,salary_margin,salary,required_experience
2024-01-02,"PHP, Python Web Developer",/jobs/3974036/,Soaring Venture Corp.,"['PHP', 'Java', 'Python', 'SQL', 'HTML', 'CSS', 'WEB', 'API']","[42000, 46000]",44000.0,5
2024-01-02,Програміст PHP Developer (автозапчастини),/jobs/5471074/,ULC,"['PHP', 'Java', 'SQL', 'HTML', 'CSS']",[40000],40000.0,1
2023-12-27,WordPress Designer Elementor Developer,/jobs/5457136/,Busyness Launch,"['English', 'HTML', 'CSS', 'WEB']","[8000, 20000]",14000.0,2
2024-01-05,Front-end програміст,/jobs/5359282/,Vis0,"['Java', 'English', 'WEB']","[15000, 45000]",30000.0,1
2023-12-27,Front-end developer,/jobs/5380421/,Skalar,"['Java', 'JS', 'Docker', 'HTML', 'CSS', 'GIT', 'API', 'CI/CD', 'NodeJS']","[34000, 45000]",39500.0,2
2024-01-08,.Net-програміст,/jobs/5451306/,Kenner Soft Service GmbH,"['SQL', 'C#']",Unknown,,2
2024-01-08,"Програміст 1C, BAS",/jobs/5419883/,"ВСТ-Ойл, ТОВ","['SQL', '1С', 'WEB', 'API']",As interview result,,1
2023-12-20,Інженер-програміст верстатів з програмним керуванням,/jobs/5461121/,"Екватор, завод, АТ",[],[15000],15000.0,5
2024-01-09,Інженер-програміст АСУ ТП (Junior),/jobs/5480972/,Пролайт Аутомейшн,"['JS', 'SQL', 'C#', 'WEB']",As interview result,,1
2023-12-27,"Full stack програміст (PHP, JS)",/jobs/5417549/,We.ua,"['PHP', 'Java', 'JS', 'SQL', 'Ruby', 'HTML', 'CSS', 'GIT', 'API', 'Redis']","[30000, 50000]",40000.0,1
2023-12-11,"Business Analyst, Corezoid, Node-red Developer",/jobs/5450971/,Vandal Vape,['Java'],"[35000, 70000]",52500.0,1
2023-12-14,WordPress-розробник,/jobs/5342183/,Оссистем,"['PHP', 'Java', 'HTML', 'CSS']",Unknown,,2
2023-12-21,Программист Golang,/jobs/5462618/,The Unit,"['SQL', 'Docker', 'GIT', 'API']",Unknown,,5
2023-12-31,"Програміст PHP, Yii2, Vue",/jobs/5469395/,"Всеосвіта, ТОВ","['PHP', 'JS', 'SQL', 'SEO', 'Redis']",As interview result,,2
2024-01-04,PHP Developer,/jobs/4394695/,Kenner Soft Service GmbH,"['PHP', 'Java', 'SQL', 'Docker', 'HTML', 'CSS', 'GIT', 'Redis']",Unknown,,1
2024-01-08,Програміст 1C,/jobs/5274161/,Юнiк Трейд,['1С'],Unknown,,5
2023-12-27,"Web developer (WordPress, OpenCart)",/jobs/5467070/,ItSites,"['PHP', 'SQL', 'HTML', 'CSS', 'WEB']","[15000, 30000]",22500.0,2
2023-12-14,Shopify Developer,/jobs/4920020/,"Split Development, LLC","['Java', 'JS', 'HTML', 'CSS', 'GIT', 'WEB', 'API', 'SEO']",Unknown,,1
2024-01-10,Програміст 1C,/jobs/5126811/,TAV,"['SQL', '1С']","[35000, 50000]",42500.0,2
2024-01-04,"Інженер-програміст (BAS, 1С)",/jobs/5462748/,Кондитерська Корпорація ROSHEN,"['JS', '1С', 'WEB']",[120000],120000.0,2
2024-01-10,Corezoid developer,/jobs/5471523/,EVA.tech,"['Java', 'SQL', 'WEB', 'API']",Unknown,,2
2023-12-22,Junior+/Middle Flutter Developer,/jobs/5463584/,Давай займемось текстом,[],"[37000, 45000]",41000.0,1
2023-12-18,"Особистий помічник для програміста, Researcher, Sourcer",/jobs/5459227/,"Конончук Б.Ю., ФОП",[],As interview result,,0
2023-12-18,Front-end програміст,/jobs/5458164/,IndagoDev,"['JS', 'HTML', 'CSS', 'GIT', 'WEB']","[33000, 38000]",35500.0,2
2023-12-11,"Програміст PHP, Backend Developer",/jobs/5020034/,Maxopen,"['PHP', 'JS', 'SQL', 'HTML', 'CSS', 'API']","[25000, 35000]",30000.0,0
2023-12-14,"Trainee, Junior Wordpress Developer",/jobs/3902352/,Appexoft,"['PHP', 'JS', 'SQL', 'English', 'HTML', 'WEB', 'API']",Unknown,,0
2024-01-02,Linux C Developer,/jobs/5470007/,IT Recruitment Solutions (ITRS.ua) ®,['English'],"[162000, 180000]",171000.0,2
2024-01-08,"Інженер-електронік, розробник",/jobs/5404470/,РКС,[],As interview result,,2
2024-01-09,Backend Developer (Golang),/jobs/5215217/,American Technologies Network (ATN),"['Java', 'JS', 'SQL', 'Docker', 'English', 'HTML', 'CSS', 'GIT', 'WEB', 'API', 'Redis']",As interview result,,2
2024-01-02,Web-розробник (Shopify),/jobs/5470627/,Ace Marks,"['Java', 'HTML', 'CSS', 'WEB', 'SEO']","[40000, 60000]",50000.0,2
2024-01-07,"Middle+ програміст PHP (Laravel, ReactJS)",/jobs/5223323/,"Профдрайв, ООО","['PHP', 'Java', 'JS', 'SQL', 'Docker', 'HTML', 'CSS', 'GIT', 'WEB']",[37000],37000.0,1
2023-12-20,PHP Developer (Wordpress),/jobs/2373329/,Plugiton,"['PHP', 'Java', 'SQL', 'HTML', 'CSS', 'GIT']",Unknown,,2
2023-12-20,Програміст Golang,/jobs/5461981/,VIP Design,"['SQL', 'Docker', 'GIT', 'CI/CD']",As interview result,,2
2023-12-25,"Back end developer (Twitch, Kick, Youtube API integration for chat)",/jobs/5465266/,"Гоголь Е.О., ФЛП","['JS', 'Python', 'API']",Unknown,,2
2024-01-08,Програміст 1C,/jobs/5327807/,ProSteer Group,"['1С', 'WEB', 'API']",Unknown,,2
2024-01-08,Програміст PHP,/jobs/5479100/,Korovo,[],As interview result,,1
2024-01-04,Unity Hypercasual Game Developer,/jobs/4464568/,Mobi Screen Apps,['C#'],As interview result,,1
2024-01-10,Middle Unity game developer,/jobs/5482344/,24Play,['C#'],Unknown,,2
2024-01-09,Full-stack програміст (Strong Junior),/jobs/5055123/,Аптека АНЦ,"['Java', 'Python', 'SQL', 'Django']",[29000],29000.0,2
2024-01-08,BI developer,/jobs/5033926/,Dnipro-M,"['SQL', 'ETL']",Unknown,,2
2023-12-26,Middle Web Developer (WordPress),/jobs/5465610/,IM4U Digital Marketing Agency,"['PHP', 'Java', 'HTML', 'CSS', 'GIT', 'WEB']",Unknown,,2
2024-01-06,Middle Full Stack Developer,/jobs/5451362/,NextDay Company,[],"[15000, 40000]",27500.0,2
2024-01-09,"Full-stack Developer (Laravel, React)",/jobs/5480478/,Rezet,"['PHP', 'SQL', 'Docker', 'API', 'Redis']",Unknown,,2
2023-12-11,Middle/Senior WordPress Developer,/jobs/4565507/,Impax agency,"['PHP', 'Java', 'SQL', 'English', 'HTML', 'CSS', 'GIT', 'WEB', 'API']",Unknown,,2
2024-01-10,Magento developer (Middle/Senior),/jobs/5482827/,OGD Solutions,"['PHP', 'Java', 'JS', 'SQL', 'HTML', 'CSS', 'GIT']","[70000, 110000]",90000.0,2
2024-01-02,Back-end Developer (PHP),/jobs/5435391/,Perspective,"['PHP', 'SQL', 'Docker', 'HTML', 'CSS', 'GIT', 'API']",Unknown,,1
2023-12-27,PHP-розробник,/jobs/5385443/,Work.ua,"['PHP', 'Java', 'JS', 'SQL', 'Docker', 'GIT', 'API', 'NodeJS', 'Redis']",Unknown,,2
2024-01-08,Програміст 1C,/jobs/5477725/,"Діла, медична лабораторія",['1С'],Unknown,,2
2024-01-06,"Инженер электроники, электромеханики, конструктор, программист, исследователь",/jobs/4618763/,Углерод-Украина,[],Unknown,,1
